Customer ID,Age,Gender,Location,Income Level,Purchase Date, Purchase Value ,Items Purchased,Quantity,First Purchase Date,Last Purchase Date,Time Since Last Purchase, Total Spending , Average Order Value ,Number of Purchases,Average Time Between Purchases,Repeat Purchase Rate,Website Visits,Click-Through Rate,Time Spent on Website
2774,58,Female,South Amystad,Medium,19-01-2023, $416.34 ,Tablet,5,06-12-2022,23-04-2023,-66," $1,970.03 ", $394.01 ,6,33.33,26%,39,0.07,593
5166,39,Female,Lake Jose,Low,10-07-2022, $39.58 ,Headphones,2,26-11-2021,04-06-2022,372," $4,186.17 "," $2,093.09 ",10,49.5,2%,22,0.03,451
5374,23,Female,North Jessicashire,Medium,06-11-2022, $481.94 ,Smartphone,5,30-09-2021,05-04-2022,287," $3,106.06 ", $621.21 ,8,68.38,93%,2,0.03,397
2478,35,Female,Timothystad,High,03-10-2022, $152.38 ,Smartwatch,3,21-09-2021,23-02-2022,437," $3,884.63 "," $1,294.88 ",5,113,65%,41,0.03,362
4153,34,Male,New Georgefort,High,03-12-2022, $139.77 ,Smartphone,5,11-09-2021,16-11-2021,488, $523.88 , $104.78 ,1,629,75%,30,0.01,523
3504,24,Male,New Sarabury,Low,19-04-2023, $341.85 ,Tablet,2,10-02-2023,09-05-2023,-16," $1,100.26 ", $550.13 ,8,-4,48%,45,0.09,552
3119,42,Female,Seanfort,High,03-05-2023, $174.42 ,Camera,5,09-06-2023,13-06-2023,-104," $1,831.42 ", $366.28 ,8,-19.5,45%,14,0.04,489
9021,38,Female,South Patrickmouth,Low,28-10-2022, $111.21 ,Smartphone,1,07-10-2022,16-02-2023,-11, $845.94 , $845.94 ,8,16.88,30%,12,0.06,352
1984,30,Male,Christopherburgh,High,17-11-2022, $456.19 ,Smartphone,1,06-06-2022,17-07-2022,332," $4,095.29 "," $4,095.29 ",2,129.5,3%,11,0.09,201
6139,44,Male,Downschester,Low,25-07-2022, $73.17 ,Camera,5,04-08-2022,21-04-2023,10," $2,506.28 ", $501.26 ,1,224,92%,19,0.04,155
4329,38,Female,West Alicia,Medium,17-11-2022, $398.86 ,Camera,2,16-05-2022,13-07-2022,240," $3,429.03 "," $1,714.52 ",7,57.57,12%,39,0.1,251
1568,57,Male,North Staceystad,High,19-10-2022, $397.19 ,Headphones,2,25-12-2022,30-05-2023,-27," $4,966.68 "," $2,483.34 ",1,56,61%,36,0.04,353
4456,29,Male,Thomasside,Medium,26-09-2022, $286.54 ,Smartphone,3,16-02-2022,31-12-2022,13," $3,800.01 "," $1,266.67 ",6,78.17,57%,28,0.09,275
8783,45,Male,West Tonibury,Medium,20-03-2023, $191.91 ,Smartphone,2,02-05-2022,05-05-2022,412," $4,581.52 "," $2,290.76 ",8,38,31%,11,0.06,201
5903,29,Male,South Chad,High,02-02-2023, $144.59 ,Smartwatch,2,11-06-2022,28-04-2023,-22," $4,230.37 "," $2,115.18 ",8,27.12,95%,17,0.1,491
5777,37,Male,New Samuel,Low,23-03-2023, $198.76 ,Headphones,5,06-06-2022,05-02-2023,11," $3,229.73 ", $645.95 ,7,37,13%,23,0.1,432
8610,43,Male,Dennisshire,Medium,10-02-2023, $449.46 ,Tablet,1,12-06-2022,21-02-2023,-21," $4,940.54 "," $4,940.54 ",5,55.8,53%,35,0.07,233
2368,23,Male,New Timothy,Low,31-08-2022, $252.29 ,Camera,4,07-02-2023,17-05-2023,-20," $1,712.48 ", $428.12 ,5,23.8,42%,12,0.04,148
3001,25,Female,West Henryview,Medium,31-12-2022, $394.21 ,Laptop,5,20-01-2023,26-03-2023,5," $3,168.34 ", $633.67 ,3,46.33,90%,48,0.09,203
9539,35,Male,Port Christopherchester,Medium,05-10-2022, $322.44 ,Camera,4,14-03-2023,25-05-2023,-83," $2,053.38 ", $513.35 ,4,-1.25,80%,11,0.03,402
8437,32,Male,Rogerberg,Medium,18-11-2022, $442.19 ,Headphones,2,02-10-2022,24-12-2022,8," $1,945.98 ", $972.99 ,4,25.5,52%,15,0.01,582
3194,19,Male,Port Maryborough,Low,08-11-2022, $52.47 ,Laptop,5,07-10-2022,24-03-2023,-49," $3,024.90 ", $604.98 ,7,23.86,85%,25,0.05,194
5148,49,Male,Port Matthewfort,Low,23-12-2022, $201.43 ,Smartwatch,2,15-03-2023,02-04-2023,-83," $1,814.71 ", $907.36 ,3,21.67,98%,27,0.04,452
9336,22,Female,Yorkville,High,06-03-2023, $178.26 ,Smartphone,5,18-12-2021,21-03-2022,384," $3,560.20 ", $712.04 ,3,138.67,31%,41,0.07,452
5628,19,Female,Wyattville,Low,19-09-2022, $492.23 ,Smartwatch,2,11-03-2023,23-04-2023,-38," $1,337.12 ", $668.56 ,9,-1.89,47%,13,0.09,211
2851,58,Male,East Sarah,Medium,07-11-2022, $135.71 ,Laptop,4,11-04-2023,07-06-2023,-138," $4,956.67 "," $1,239.17 ",5,-14.2,25%,35,0.03,312
4031,41,Male,Medinafurt,Medium,23-11-2022, $46.76 ,Tablet,5,15-12-2021,13-09-2022,209," $3,028.34 ", $605.67 ,7,65.14,12%,11,0.05,215
9235,43,Female,Hinesfort,Medium,26-03-2023, $422.08 ,Camera,5,07-08-2022,06-03-2023,58," $4,703.84 ", $940.77 ,1,208,55%,17,0.09,557
6133,56,Female,Lake Rachel,Low,05-10-2022, $488.97 ,Camera,2,01-03-2023,02-05-2023,3," $3,852.68 "," $1,926.34 ",8,12.25,84%,6,0.04,201
4593,52,Male,Josephbury,Low,12-10-2022, $23.42 ,Smartphone,4,01-01-2022,24-05-2023,-134," $1,355.21 ", $338.80 ,8,55.5,50%,39,0.05,343
1187,56,Female,New Tiffanyfurt,High,16-02-2023, $44.18 ,Tablet,1,16-05-2023,06-06-2023,-27," $3,961.16 "," $3,961.16 ",1,5,12%,29,0.06,50
3827,27,Female,Kyleland,Medium,11-05-2023, $210.45 ,Smartphone,3,07-03-2023,16-03-2023,0," $3,510.04 "," $1,170.01 ",2,8.5,94%,10,0.05,546
5512,46,Female,Port Mark,High,08-02-2023, $29.86 ,Camera,2,04-04-2023,20-04-2023,9," $2,113.81 "," $1,056.90 ",6,-10.83,87%,7,0.07,322
3918,51,Female,North Matthewton,High,26-10-2022, $479.01 ,Headphones,3,10-08-2021,29-08-2021,614, $635.98 , $211.99 ,3,226,46%,43,0.06,424
7261,49,Female,New Alexanderborough,High,08-10-2022, $83.34 ,Headphones,4,17-01-2022,26-11-2022,105, $708.35 , $177.09 ,2,187.5,59%,10,0.02,260
5649,52,Female,Benjaminville,High,10-03-2023, $70.61 ,Smartphone,5,17-06-2022,06-09-2022,204, $499.66 , $99.93 ,9,39.33,16%,42,0.09,102
1501,64,Female,North Danielle,Low,11-10-2022, $22.58 ,Smartwatch,5,02-08-2021,26-07-2022,296," $1,970.80 ", $394.16 ,4,134.25,54%,44,0.03,420
6990,23,Male,Thompsonton,Low,14-07-2022, $318.99 ,Camera,3,06-09-2022,22-09-2022,135, $930.87 , $310.29 ,6,39,40%,27,0.02,31
6140,51,Male,Port Danielside,High,17-01-2023, $385.45 ,Smartwatch,3,17-12-2021,25-01-2022,450," $2,328.40 ", $776.13 ,7,70.29,58%,8,0.06,569
6329,26,Male,East Diana,Medium,15-06-2023, $129.89 ,Smartwatch,1,13-09-2022,24-11-2022,147," $4,355.44 "," $4,355.44 ",2,130.5,59%,44,0.04,308
4018,43,Male,Benjaminfurt,Low,02-02-2023, $360.18 ,Smartphone,1,13-07-2021,04-12-2022,97," $3,893.58 "," $3,893.58 ",10,61.3,46%,6,0.02,62
3371,22,Male,West Jamesshire,Low,12-05-2023, $86.64 ,Smartwatch,5,18-12-2021,14-04-2023,67," $2,988.74 ", $597.75 ,3,155.33,8%,32,0.03,229
8015,25,Male,Randyborough,High,13-05-2023, $236.16 ,Headphones,1,16-01-2022,22-02-2023,-42, $767.73 , $767.73 ,7,54.14,8%,38,0.06,447
8811,49,Male,East James,High,12-12-2022, $325.03 ,Tablet,1,20-02-2022,22-05-2023,-75, $500.65 , $500.65 ,7,52.71,54%,1,0.03,97
8426,41,Male,Colefort,High,04-09-2022, $371.41 ,Laptop,1,02-05-2022,20-05-2023,-101," $4,195.26 "," $4,195.26 ",5,59.4,65%,27,0.04,31
9482,41,Male,Port Gabrielleberg,High,08-10-2022, $192.00 ,Headphones,2,27-12-2022,25-04-2023,-92," $2,144.53 "," $1,072.27 ",10,16.3,68%,28,0.06,189
3760,58,Female,East Alan,Low,24-07-2022, $19.02 ,Smartwatch,2,16-07-2022,31-05-2023,-59," $1,532.71 ", $766.36 ,1,210,30%,43,0.07,63
1847,52,Male,Lawsonmouth,Medium,12-05-2023, $81.80 ,Tablet,2,01-09-2022,20-09-2022,121," $3,373.20 "," $1,686.60 ",5,49.4,13%,48,0.05,101
8221,21,Female,North Dustinborough,High,07-03-2023, $281.82 ,Laptop,1,06-12-2021,15-08-2022,300," $2,381.51 "," $2,381.51 ",7,64,91%,29,0.03,112
3452,45,Female,New Kara,Low,21-07-2022, $95.77 ,Tablet,1,30-12-2021,26-06-2022,252," $3,106.02 "," $3,106.02 ",9,45.56,22%,41,0.06,358
3591,57,Male,East Xaviershire,Low,01-04-2023, $333.61 ,Tablet,1,12-01-2023,15-02-2023,120," $1,583.40 "," $1,583.40 ",6,1.67,89%,28,0.1,62
4220,27,Female,Barajasborough,High,26-09-2022, $301.37 ,Laptop,5,02-08-2021,15-04-2023,-98," $4,394.98 ", $879.00 ,1,595,42%,17,0.06,251
5696,39,Male,Bethberg,Low,26-05-2023, $366.71 ,Camera,5,14-05-2023,18-06-2023,-85," $4,197.59 ", $839.52 ,2,-15.5,76%,25,0.08,47
9131,47,Female,Garyport,Medium,13-09-2022, $390.21 ,Camera,2,02-10-2021,09-11-2021,482," $4,280.67 "," $2,140.34 ",1,571,54%,15,0.1,88
5790,56,Female,South Patrickborough,Low,18-07-2022, $311.38 ,Smartphone,3,06-05-2022,08-07-2022,237," $1,944.79 ", $648.26 ,6,50.17,58%,46,0.06,302
6669,33,Female,Maryberg,Low,28-11-2022, $152.20 ,Camera,4,22-08-2021,29-01-2022,368," $3,330.73 ", $832.68 ,9,56.33,87%,2,0.08,68
4911,38,Male,West Kendraville,Medium,17-11-2022, $442.81 ,Tablet,1,07-11-2021,05-07-2022,287," $3,255.54 "," $3,255.54 ",5,104.8,17%,30,0.05,196
4960,40,Female,Clarkfurt,High,15-03-2023, $349.05 ,Smartphone,4,25-06-2022,17-04-2023,43," $1,868.81 ", $467.20 ,4,59,29%,16,0.09,574
6823,53,Female,Marychester,Low,21-01-2023, $448.51 ,Smartwatch,4,13-05-2022,10-06-2023,-102," $4,111.12 "," $1,027.78 ",1,375,41%,17,0.06,448
2442,35,Male,South Jonathan,High,02-12-2022, $207.00 ,Camera,3,30-07-2022,22-08-2022,203," $1,062.37 ", $354.12 ,10,27.9,42%,5,0.1,192
4425,19,Male,New Lauren,Low,22-10-2022, $306.48 ,Camera,5,23-03-2022,01-07-2022,230," $3,850.16 ", $770.03 ,9,32.78,18%,39,0.04,413
4882,24,Male,Brianfurt,Low,21-02-2023, $97.60 ,Smartwatch,2,02-03-2023,18-05-2023,-33," $1,608.51 ", $804.25 ,6,-5.33,79%,1,0.03,598
1838,62,Male,Patelburgh,Medium,02-05-2023, $387.81 ,Smartphone,1,03-11-2022,12-05-2023,-31," $3,838.57 "," $3,838.57 ",7,14.14,45%,9,0.07,138
7888,34,Male,Griffithfort,High,04-08-2022, $67.93 ,Smartwatch,2,18-09-2021,12-01-2022,377," $1,812.66 ", $906.33 ,2,306.5,7%,40,0.03,464
9385,62,Female,Adamschester,Medium,17-09-2022, $120.12 ,Smartphone,5,22-04-2022,20-04-2023,-49," $3,008.98 ", $601.80 ,10,41.6,15%,35,0.04,581
1481,22,Male,Knoxburgh,High,11-08-2022, $454.65 ,Smartphone,1,26-06-2021,29-01-2022,396, $870.22 , $870.22 ,8,78.75,70%,22,0.08,517
3333,34,Female,Rebeccabury,Medium,11-02-2023, $136.66 ,Tablet,2,12-02-2023,22-02-2023,96," $4,223.25 "," $2,111.62 ",1,70,14%,7,0.05,314
9104,39,Female,Millerton,Medium,22-02-2023, $471.37 ,Smartphone,3,28-01-2022,27-04-2023,-51," $4,976.67 "," $1,658.89 ",2,239.5,32%,29,0.04,559
6158,37,Female,Taylorburgh,Low,30-04-2023, $449.09 ,Tablet,2,29-01-2022,08-04-2022,317, $814.00 , $407.00 ,3,144,9%,9,0.03,98
7884,28,Male,Robertmouth,High,10-04-2023, $421.87 ,Smartphone,4,06-08-2022,08-03-2023,-16," $2,510.40 ", $627.60 ,10,20.7,97%,44,0.08,40
7806,63,Male,Marytown,High,01-02-2023, $417.17 ,Laptop,3,28-01-2022,18-10-2022,187," $2,051.41 ", $683.80 ,5,79.4,27%,5,0.08,429
4582,52,Male,North Kenneth,High,06-03-2023, $29.06 ,Laptop,1,20-08-2022,27-01-2023,114, $180.35 , $180.35 ,2,69.5,11%,23,0.09,133
9200,63,Male,West Amberville,Low,09-01-2023, $91.71 ,Smartwatch,5,27-11-2022,23-12-2022,20," $2,342.08 ", $468.42 ,6,28.83,82%,22,0.09,468
2075,64,Male,Jodiland,Medium,05-04-2023, $32.28 ,Smartphone,1,22-08-2022,31-10-2022,167," $1,472.92 "," $1,472.92 ",4,39,37%,42,0.06,93
9987,26,Female,Lawsonshire,Low,07-01-2023, $47.14 ,Smartwatch,1,26-05-2022,15-12-2022,51," $1,982.82 "," $1,982.82 ",9,25.11,15%,16,0.05,464
9408,55,Female,South Justin,High,17-02-2023, $347.13 ,Camera,4,20-05-2022,04-08-2022,319," $4,687.52 "," $1,171.88 ",6,55.33,19%,2,0.09,34
3800,57,Male,New Josephborough,Medium,08-09-2022, $383.26 ,Laptop,2,14-04-2022,30-04-2022,306," $3,200.72 "," $1,600.36 ",2,173.5,62%,21,0.01,455
3110,18,Female,Wellsview,Low,11-10-2022, $271.21 ,Smartphone,5,16-11-2022,21-11-2022,75," $4,020.86 ", $804.17 ,4,51.5,95%,48,0.09,348
4213,63,Female,Sherryfort,High,11-07-2022, $392.15 ,Headphones,4,13-12-2021,27-03-2022,299," $3,494.98 ", $873.75 ,7,68.43,90%,29,0.09,178
1980,46,Male,East Karenchester,Medium,10-09-2022, $261.59 ,Smartwatch,4,10-11-2021,28-06-2022,292," $3,794.21 ", $948.55 ,7,82.14,62%,25,0.08,140
5854,29,Male,Port Amanda,High,26-12-2022, $369.03 ,Laptop,2,07-01-2023,05-06-2023,-1," $3,138.92 "," $1,569.46 ",9,5.22,48%,6,0.1,275
2591,44,Female,Lake Jessica,High,06-07-2022, $487.23 ,Headphones,2,18-04-2022,13-02-2023,-8," $1,134.10 ", $567.05 ,3,113,1%,44,0.1,402
6974,25,Male,Saramouth,Low,01-03-2023, $217.09 ,Tablet,3,27-08-2021,23-10-2022,93," $3,104.03 "," $1,034.68 ",4,143.5,85%,18,0.08,589
5979,45,Female,Port Bonnieland,High,26-05-2023, $110.57 ,Headphones,1,29-01-2023,02-06-2023,-129," $2,416.69 "," $2,416.69 ",7,17.14,59%,48,0.01,571
7778,25,Female,Angelaberg,Medium,26-09-2022, $355.87 ,Tablet,5,15-06-2022,16-12-2022,141," $3,936.06 ", $787.21 ,7,47,21%,14,0.08,49
2343,55,Male,South Charles,Medium,08-02-2023, $33.57 ,Laptop,1,27-08-2022,15-05-2023,37," $3,706.43 "," $3,706.43 ",9,22.89,92%,7,0.1,400
3500,47,Female,Janiceville,High,11-03-2023, $120.77 ,Smartphone,4,22-10-2021,16-12-2021,386," $2,060.91 ", $515.23 ,7,80,30%,29,0.03,508
7243,18,Male,Freemanhaven,Medium,15-03-2023, $135.56 ,Headphones,5,12-11-2021,08-10-2022,142," $3,192.07 ", $638.41 ,8,54,34%,16,0.04,526
8001,54,Male,East Tony,Low,03-11-2022, $159.96 ,Smartphone,2,06-01-2022,16-09-2022,142," $3,175.84 "," $1,587.92 ",1,370,53%,21,0.05,235
3126,41,Male,Costamouth,High,24-03-2023, $197.14 ,Tablet,2,19-10-2022,07-03-2023,-30," $2,849.32 "," $1,424.66 ",10,21.9,55%,6,0.04,512
7919,34,Female,New Tiffanyview,Medium,14-02-2023, $499.42 ,Headphones,5,20-03-2023,25-04-2023,-35," $2,335.90 ", $467.18 ,9,7,2%,6,0.04,566
7412,59,Female,Randystad,Medium,27-12-2022, $306.12 ,Smartphone,1,13-02-2022,23-05-2022,380," $4,910.45 "," $4,910.45 ",9,42.89,90%,28,0.02,459
8004,45,Female,South Keithshire,Low,02-06-2023, $133.60 ,Smartphone,1,14-05-2022,27-09-2022,172," $1,963.52 "," $1,963.52 ",3,78.67,71%,12,0.02,545
3963,59,Male,South Lindsey,Low,18-01-2023, $372.32 ,Camera,2,06-06-2023,25-06-2023,-88," $3,846.46 "," $1,923.23 ",6,-1.83,37%,50,0.02,213
1039,32,Male,Deborahshire,Low,11-06-2023, $160.94 ,Smartphone,3,22-08-2022,13-03-2023,34," $3,068.92 "," $1,022.97 ",8,17.62,1%,41,0.1,234
6185,42,Female,Garretttown,Low,28-09-2022, $158.25 ,Camera,5,23-07-2022,10-11-2022,207," $3,916.90 ", $783.38 ,5,44.8,83%,44,0.09,492
6190,52,Female,Lake Robertoton,High,14-12-2022, $218.55 ,Camera,2,06-01-2022,08-09-2022,205," $4,393.22 "," $2,196.61 ",1,414,7%,27,0.09,586
6598,18,Female,Georgefurt,Medium,04-09-2022, $410.16 ,Tablet,4,10-01-2023,22-05-2023,-64," $3,889.85 ", $972.46 ,6,14.83,43%,1,0.01,527
5888,53,Female,East Katrinaland,High,30-04-2023, $474.12 ,Smartwatch,5,13-03-2023,13-03-2023,57," $1,686.87 ", $337.37 ,7,-2,6%,1,0.07,326
4948,19,Male,Rubentown,High,02-12-2022, $414.05 ,Smartwatch,4,11-06-2022,21-06-2023,-67," $2,844.97 ", $711.24 ,5,58.8,40%,17,0.09,359
9949,48,Male,Rebeccaview,Low,22-02-2023, $442.87 ,Camera,2,29-03-2022,14-10-2022,163," $1,042.69 ", $521.35 ,10,38.1,66%,3,0.08,451
9181,39,Female,New Matthewland,Low,04-06-2023, $346.87 ,Camera,3,24-05-2023,14-06-2023,-113, $272.24 , $90.75 ,1,-46,8%,8,0.08,526
9814,41,Female,Fullerview,Medium,11-09-2022, $166.88 ,Laptop,5,23-07-2022,12-01-2023,86," $2,244.05 ", $448.81 ,9,35.56,86%,22,0.07,417
1894,35,Female,Philipfurt,High,29-08-2022, $143.89 ,Headphones,1,24-10-2022,03-06-2023,-143," $1,728.74 "," $1,728.74 ",7,30.57,58%,43,0.05,229
3565,38,Female,Riveraberg,Low,14-04-2023, $281.50 ,Laptop,5,26-08-2022,05-10-2022,173, $439.23 , $87.85 ,6,43.83,67%,36,0.1,532
5636,39,Female,South Cameronview,Medium,29-12-2022, $146.18 ,Tablet,5,07-10-2022,19-05-2023,-67, $494.03 , $98.81 ,2,56.5,36%,22,0.03,66
9108,62,Male,New William,High,11-10-2022, $332.31 ,Tablet,2,26-11-2022,16-05-2023,-21," $2,326.80 "," $1,163.40 ",4,18.5,89%,36,0.07,422
5411,54,Female,Snyderburgh,Medium,01-09-2022, $105.24 ,Smartwatch,2,23-12-2022,16-04-2023,60," $3,562.51 "," $1,781.26 ",8,12.5,1%,7,0.03,106
4939,62,Male,South Patrickberg,Medium,19-03-2023, $136.85 ,Smartwatch,1,07-03-2023,15-03-2023,41, $191.23 , $191.23 ,5,-11.4,1%,38,0.08,512
5062,65,Male,Lake Robert,High,27-09-2022, $206.10 ,Camera,1,20-03-2023,24-06-2023,-118," $3,728.58 "," $3,728.58 ",7,4.57,54%,23,0.08,412
5089,61,Male,Port Heathertown,Low,30-01-2023, $495.01 ,Headphones,5,26-07-2022,29-04-2023,-96," $1,077.58 ", $215.52 ,6,44,83%,10,0.03,332
1729,22,Male,Michaelbury,Medium,04-11-2022, $106.77 ,Camera,3,16-05-2022,15-05-2023,-38," $1,618.77 ", $539.59 ,4,96,20%,39,0.08,123
3612,24,Male,Sheilastad,Low,20-01-2023, $257.36 ,Camera,3,23-12-2021,28-01-2022,493," $1,554.62 ", $518.21 ,8,52.38,20%,35,0.01,127
6726,35,Female,Flynnmouth,High,28-03-2023, $198.11 ,Tablet,5,31-08-2022,21-02-2023,47," $2,385.56 ", $477.11 ,10,25.6,85%,49,0.09,498
7238,49,Male,North Bryan,Medium,05-12-2022, $86.49 ,Camera,3,03-08-2021,28-05-2023,-56," $1,197.09 ", $399.03 ,1,592,51%,47,0.08,561
1146,33,Female,Port Melissa,Low,09-07-2022, $243.60 ,Smartphone,2,25-08-2021,31-01-2023,3," $3,588.82 "," $1,794.41 ",1,573,32%,3,0.02,457
8462,50,Female,New James,Low,02-02-2023, $35.15 ,Smartphone,4,10-05-2022,15-10-2022,123," $3,614.09 ", $903.52 ,3,113.33,10%,37,0.07,165
8304,40,Male,Brandonfurt,High,07-08-2022, $429.45 ,Tablet,3,31-07-2021,13-04-2023,-8, $573.60 , $191.20 ,4,152,96%,4,0.04,531
2043,40,Female,Port Kim,Low,20-03-2023, $455.95 ,Camera,5,24-03-2023,11-06-2023,2," $1,293.19 ", $258.64 ,1,17,81%,9,0.1,314
7021,18,Male,Sharonhaven,Low,01-12-2022, $340.11 ,Tablet,2,27-04-2023,19-05-2023,0," $4,317.33 "," $2,158.66 ",2,16,56%,30,0.09,186
6976,56,Female,Loriport,High,09-08-2022, $202.67 ,Headphones,2,08-09-2022,19-12-2022,82," $2,827.03 "," $1,413.52 ",3,39.33,23%,38,0.05,387
8536,38,Male,Port Charleston,Low,01-06-2023, $313.15 ,Tablet,2,28-06-2022,01-10-2022,178," $3,838.68 "," $1,919.34 ",7,35.43,28%,4,0.07,260
9008,65,Male,South Teresaport,Low,25-05-2023, $173.10 ,Laptop,3,08-12-2022,17-01-2023,40," $1,146.10 ", $382.03 ,3,45.33,51%,24,0.04,118
1191,49,Female,Port Omarton,High,11-09-2022, $399.83 ,Headphones,1,17-06-2023,26-06-2023,-53," $1,758.96 "," $1,758.96 ",4,-28.75,21%,26,0.09,140
1201,37,Female,East Derekshire,High,13-02-2023, $315.52 ,Headphones,3,12-02-2022,08-07-2022,189," $1,570.56 ", $523.52 ,6,59.67,43%,23,0.07,157
6226,50,Female,North Timothy,High,31-05-2023, $239.14 ,Tablet,1,13-06-2022,04-02-2023,43," $2,935.89 "," $2,935.89 ",2,123,54%,27,0.09,598
8164,38,Male,New Jeremiah,Low,09-08-2022, $493.02 ,Headphones,4,08-08-2022,30-08-2022,237," $1,127.32 ", $281.83 ,7,42.86,45%,50,0.03,461
5413,39,Male,East Shannonshire,High,11-09-2022, $169.85 ,Smartwatch,2,28-10-2021,10-08-2022,274," $3,732.10 "," $1,866.05 ",10,60.1,31%,32,0.05,366
9850,32,Male,Allenshire,Medium,13-06-2023, $184.45 ,Camera,5,07-06-2023,07-06-2023,-23, $852.49 , $170.50 ,6,-11.83,51%,35,0.03,402
